rain_1h,rain_3h,rain_24h,soil_moisture,elevation,slope,hist_count,hist_fatalities,label
27.2,62.0,125.2,0.381,962.2,29.1,23,0,1
8.5,22.2,59.1,0.556,1351.0,33.0,16,0,1
2.7,8.1,22.5,0.265,195.7,5.5,0,0,0
0.0,0.9,27.6,0.163,229.9,2.6,0,0,0
21.9,53.6,143.7,0.517,234.9,8.2,0,0,0
9.5,20.6,67.3,0.182,1311.7,32.6,4,0,0
29.9,63.1,153.0,0.549,2735.6,23.2,17,0,1
21.1,34.4,230.7,0.498,2516.6,41.9,4,0,1
1.1,4.9,22.5,0.237,233.8,6.0,0,0,0
0.3,0.6,5.2,0.28,157.0,10.6,0,0,0
0.3,2.4,18.3,0.247,215.0,5.6,0,0,0
15.1,59.9,145.7,0.465,99.6,10.4,0,0,0
30.8,70.1,154.3,0.393,1391.5,43.7,18,0,1
1.4,8.9,57.9,0.22,1404.1,40.3,2,0,0
0.4,3.4,22.4,0.174,276.1,10.1,0,0,0
28.5,77.5,201.5,0.477,151.1,6.6,1,0,0
22.1,42.2,134.4,0.442,2654.6,36.8,7,0,1
1.1,4.5,26.3,0.26,240.1,1.2,0,0,0
0.9,2.5,29.1,0.151,288.1,11.1,0,0,0
36.4,80.2,220.9,0.516,2405.7,44.2,10,0,1
1.4,10.5,27.5,0.205,256.5,2.9,0,0,0
10.6,41.7,131.7,0.412,2892.7,19.5,11,0,1
3.7,9.2,42.6,0.224,1640.0,29.1,0,0,0
3.3,6.7,63.7,0.34,931.9,28.7,3,0,0
6.6,21.8,75.2,0.543,3166.2,34.9,5,0,1
24.5,56.9,110.1,0.578,3038.5,52.3,21,0,1
27.7,64.2,107.9,0.409,477.9,50.7,7,0,1
26.3,38.9,113.2,0.413,471.9,38.3,21,0,1
14.8,30.4,197.1,0.426,2581.9,56.0,4,0,1
12.1,23.3,59.8,0.547,1185.2,27.8,8,0,1
23.3,42.5,111.6,0.459,158.0,12.2,0,0,0
5.8,17.3,63.9,0.562,1511.8,36.0,13,0,0
6.6,11.3,50.6,0.532,450.3,39.8,1,0,1
1.8,3.7,26.8,0.129,113.6,6.9,0,0,0
9.1,20.8,57.4,0.307,2115.8,33.2,0,0,0
44.7,67.4,120.1,0.432,2587.1,22.4,10,0,1
15.0,65.8,169.4,0.529,1644.9,20.8,25,1,1
24.8,55.7,105.2,0.505,129.7,2.6,2,0,0
0.1,3.5,12.6,0.199,133.5,7.5,0,0,0
26.9,75.0,192.5,0.447,1573.6,39.0,9,0,1
11.5,24.6,138.5,0.517,513.9,52.1,8,0,1
34.0,73.7,155.3,0.428,73.4,7.3,0,0,0
45.5,77.7,186.8,0.546,283.1,8.7,1,0,0
15.6,21.6,155.4,0.384,2280.7,33.2,4,0,1
15.3,24.1,103.5,0.563,2805.2,53.8,1,0,1
20.1,69.1,189.7,0.531,534.3,20.5,12,1,1
0.0,0.7,3.3,0.295,155.6,0.7,0,0,0
19.6,47.4,162.9,0.418,3121.2,25.7,11,0,1
22.4,40.0,105.8,0.428,171.5,7.7,2,0,0
0.1,1.2,23.3,0.187,61.8,3.4,0,0,0
21.0,67.6,133.7,0.434,2026.5,30.0,3,0,1
5.7,12.3,48.5,0.263,851.4,30.3,1,0,0
23.9,44.3,152.5,0.497,2506.1,34.3,6,0,1
8.6,22.3,73.6,0.299,749.5,20.5,2,0,0
15.8,23.4,110.5,0.385,2589.0,41.5,24,0,1
17.8,51.0,142.3,0.507,170.6,10.9,1,0,0
0.2,2.6,18.7,0.275,94.0,8.8,0,0,0
19.3,39.6,109.5,0.414,261.4,10.7,0,0,0
34.2,71.3,149.3,0.415,2919.6,42.0,18,0,1
3.6,8.0,22.4,0.196,1739.9,25.9,0,0,0
27.4,43.5,226.4,0.543,789.0,36.9,1,0,1
19.9,35.4,154.5,0.484,2590.8,24.4,18,0,1
22.7,33.8,91.6,0.474,1906.4,57.1,13,0,1
10.7,30.4,58.1,0.568,2900.8,27.9,11,0,1
10.9,16.2,57.6,0.454,1804.1,18.5,17,0,1
12.1,26.7,85.7,0.51,769.8,53.0,24,0,0
1.5,5.1,22.5,0.297,245.0,5.7,0,0,0
7.8,25.7,63.3,0.292,1349.8,26.6,2,0,0
15.9,78.3,213.7,0.469,2621.0,57.1,3,0,1
8.7,22.8,132.9,0.432,2640.1,44.3,6,0,0
13.5,37.6,163.1,0.429,2044.4,42.8,14,0,1
5.1,15.1,37.2,0.204,701.6,23.1,3,0,0
17.1,60.9,187.7,0.43,1163.3,35.9,21,0,1
17.2,23.0,117.9,0.388,2011.2,57.5,20,0,1
10.8,23.7,56.1,0.187,1553.3,38.3,3,0,0
13.8,23.1,90.9,0.526,1552.7,40.0,9,0,1
2.9,10.2,29.7,0.263,216.3,8.4,0,0,0
45.7,73.4,230.3,0.474,737.9,55.5,1,0,1
29.2,57.3,107.4,0.512,230.3,8.6,0,0,0
28.3,75.9,234.4,0.413,352.4,23.9,6,0,1
12.0,39.9,105.1,0.459,2980.7,55.2,21,0,1
17.6,22.4,66.3,0.491,2746.3,50.7,14,2,1
0.9,7.8,28.1,0.146,229.2,6.2,0,0,0
23.1,83.0,195.3,0.442,239.2,5.7,1,0,0
0.4,4.6,19.5,0.167,192.0,1.7,0,0,0
20.0,63.5,172.5,0.471,285.8,3.9,1,0,0
1.0,7.9,24.5,0.136,258.6,10.3,0,0,0
7.4,16.1,47.3,0.264,2021.4,27.9,1,0,0
1.2,3.9,38.3,0.314,1726.7,24.5,2,0,0
2.5,5.8,30.4,0.182,1253.4,27.1,1,0,0
34.7,56.4,114.2,0.437,1637.8,39.8,15,2,1
0.0,0.1,1.5,0.206,221.9,3.0,0,0,0
1.6,7.1,21.1,0.23,282.7,8.6,0,0,0
29.7,71.1,164.9,0.462,1906.6,32.7,2,0,1
13.3,37.6,105.4,0.483,143.2,3.9,2,0,0
20.6,55.0,144.8,0.505,2243.3,30.1,10,0,1
10.0,25.2,94.6,0.446,2229.4,45.7,5,0,1
0.1,1.0,8.4,0.145,74.3,4.2,0,0,0
1.4,9.7,22.0,0.272,1501.1,30.6,2,0,0
22.3,37.7,101.6,0.494,45.2,9.3,0,0,0
11.3,32.4,146.5,0.526,1554.4,29.8,13,0,1
0.3,0.7,18.8,0.302,99.6,2.8,0,0,0
0.1,2.2,9.4,0.216,118.6,5.7,0,0,0
22.7,40.1,68.2,0.422,2144.1,26.5,22,0,1
11.1,33.1,133.4,0.429,2918.1,36.7,17,1,1
15.1,22.4,79.6,0.382,2723.1,45.2,15,0,1
20.8,54.7,231.3,0.477,622.7,51.8,8,0,1
0.9,3.2,19.4,0.225,103.9,2.4,0,0,0
41.3,72.3,199.8,0.461,912.3,30.1,2,0,1
14.6,35.7,135.6,0.528,202.1,1.1,2,0,0
1.7,4.1,22.8,0.139,229.4,7.5,0,0,0
23.3,36.6,72.3,0.464,1472.2,47.8,12,0,1
15.3,65.1,204.9,0.487,1991.8,28.8,13,0,1
38.2,48.7,84.0,0.477,1372.6,26.8,16,0,1
0.3,0.7,2.1,0.217,144.5,11.9,0,0,0
24.5,54.3,232.8,0.551,654.0,33.3,12,0,1
16.4,60.0,128.2,0.52,1440.2,19.5,16,0,1
26.5,55.5,221.8,0.504,879.9,23.5,2,0,1
23.8,74.4,204.2,0.565,2143.4,35.6,4,0,1
27.4,60.3,178.9,0.438,1734.9,48.4,8,0,1
11.8,63.2,134.8,0.468,1888.3,48.2,25,0,1
29.0,59.3,161.6,0.51,2831.7,37.3,16,1,0
28.2,62.2,171.1,0.448,2702.1,50.7,15,0,1
26.5,37.9,178.8,0.575,1993.8,19.8,3,2,1
14.9,79.5,226.2,0.42,745.8,49.6,1,0,1
9.2,28.2,58.0,0.462,2789.7,40.3,20,0,1
31.5,50.3,129.6,0.445,416.2,49.4,5,0,1
31.5,68.9,150.7,0.493,221.4,6.1,0,0,0
11.2,24.4,210.6,0.407,815.4,28.9,14,0,1
16.1,41.7,167.9,0.574,2654.1,23.0,14,0,1
9.1,21.6,55.1,0.552,1885.0,21.4,25,0,1
2.5,14.9,61.9,0.348,1817.1,39.4,3,0,0
25.4,77.4,175.5,0.535,113.6,8.3,2,0,0
10.5,27.5,194.5,0.386,1274.5,20.2,12,0,1
16.3,52.4,201.2,0.507,2326.4,18.4,11,0,1
43.0,98.3,206.4,0.441,192.2,8.2,2,0,0
11.8,38.1,118.6,0.391,1182.6,55.8,21,1,1
0.1,5.3,19.5,0.219,210.7,2.4,0,0,0
1.7,6.3,47.3,0.242,1392.1,21.4,1,0,0
6.9,15.1,53.3,0.182,1810.8,27.3,2,0,0
2.1,4.9,29.1,0.249,185.3,3.9,0,0,0
2.7,7.3,26.5,0.214,144.5,7.5,0,0,0
0.0,0.0,0.1,0.133,246.1,1.0,0,0,0
0.2,2.5,11.2,0.192,67.7,1.2,0,0,0
8.4,25.5,180.1,0.477,931.5,42.3,11,1,1
30.4,60.6,178.7,0.572,3038.4,32.2,20,0,1
2.6,5.8,37.9,0.335,1068.0,36.9,4,0,0
11.3,29.5,69.4,0.421,1380.7,47.1,23,0,1
0.0,1.0,3.8,0.127,102.0,1.1,0,0,0
25.5,43.3,197.8,0.495,2937.9,33.0,23,0,1
0.5,1.3,28.8,0.286,241.7,6.7,0,0,0
6.3,26.7,69.8,0.355,804.3,39.5,1,0,0
33.9,70.6,182.7,0.575,597.5,29.0,13,0,1
12.6,29.7,138.8,0.46,2393.3,37.1,14,0,1
18.0,37.1,139.8,0.409,2445.3,31.9,6,0,1
8.5,16.7,54.5,0.44,451.5,22.5,24,0,1
21.8,62.5,182.9,0.501,86.1,1.0,1,0,0
12.2,29.2,122.5,0.512,380.2,33.4,14,1,1
20.7,55.9,164.5,0.505,337.4,2.2,0,0,0
18.9,29.7,124.2,0.559,1785.2,38.1,25,0,1
17.9,41.5,96.6,0.438,412.3,48.9,3,1,1
24.5,72.2,146.7,0.482,200.3,11.6,2,0,0
13.2,34.0,83.7,0.455,1571.2,40.3,5,0,1
10.1,28.1,104.1,0.557,3058.1,40.2,16,0,1
4.0,21.7,65.8,0.303,1560.3,22.2,0,0,0
11.3,25.2,57.4,0.329,1089.6,39.3,4,0,0
32.3,62.2,203.1,0.407,1042.1,26.1,21,0,1
1.2,2.5,25.1,0.319,806.0,21.2,4,0,0
14.8,36.0,171.5,0.515,2892.7,21.5,14,0,1
24.8,51.2,156.0,0.545,1107.6,19.6,3,0,1
14.3,32.6,170.3,0.538,375.5,19.7,23,0,1
8.3,20.7,66.4,0.209,1062.2,37.3,0,0,0
2.4,17.0,62.1,0.245,878.6,38.8,0,0,0
30.6,43.9,140.5,0.56,3101.6,49.3,19,2,1
19.5,70.0,209.5,0.388,1252.4,23.1,9,0,1
1.3,6.6,27.3,0.307,1637.2,40.3,2,0,0
25.6,33.3,187.3,0.574,839.8,55.8,8,1,1
7.8,22.2,205.9,0.402,714.5,41.9,1,0,1
5.1,11.7,57.8,0.207,767.0,25.7,4,0,0
5.9,16.4,37.5,0.267,1713.6,38.7,0,0,0
10.1,40.3,88.7,0.417,2937.2,42.9,24,0,1
0.0,0.2,1.7,0.131,285.4,2.5,0,0,0
0.5,2.1,12.1,0.264,88.5,5.2,0,0,0
3.1,7.7,26.2,0.234,156.4,7.2,0,0,0
3.5,14.0,45.3,0.255,1383.9,21.7,1,0,0
1.1,3.7,15.3,0.162,110.5,7.6,0,0,0
1.7,16.6,54.3,0.219,678.8,22.6,1,0,0
0.2,0.5,7.0,0.274,160.7,8.5,0,0,0
37.8,56.1,130.1,0.427,358.2,57.8,1,0,1
9.2,28.1,56.6,0.514,1071.0,33.4,21,2,1
0.0,0.4,2.7,0.263,187.7,2.6,0,0,0
10.9,34.2,218.2,0.579,1029.7,33.6,18,0,1
41.1,74.3,137.6,0.509,324.3,8.1,0,0,0
20.0,58.8,214.9,0.399,2845.2,31.4,2,1,1
3.1,13.9,63.9,0.292,2033.1,23.0,2,0,0
22.1,49.4,146.4,0.516,96.0,4.7,0,0,0
14.3,51.9,147.1,0.558,317.6,13.0,0,0,0
18.2,24.4,116.1,0.561,2659.2,41.6,25,0,1
40.0,67.6,138.0,0.418,216.3,7.1,1,0,0
2.1,4.7,26.9,0.28,114.9,10.2,0,0,0
26.1,42.7,164.9,0.512,1831.9,37.7,15,0,1
25.6,36.8,65.1,0.579,2104.4,39.6,8,0,0
4.7,10.2,26.5,0.27,242.0,2.5,0,0,0
14.4,28.6,109.6,0.564,2837.5,47.4,2,0,1
24.5,68.5,180.2,0.453,863.7,26.6,25,0,1
22.9,86.0,239.2,0.558,1956.9,24.6,10,0,1
17.6,33.2,213.3,0.391,1433.1,55.9,17,0,1
21.3,41.7,192.9,0.434,498.4,20.7,19,0,1
27.9,54.5,165.2,0.4,214.0,11.1,0,0,0
18.1,37.6,218.3,0.38,2057.6,33.9,3,0,1
1.0,7.3,28.8,0.294,237.2,9.4,0,0,0
1.7,9.3,66.8,0.276,976.3,32.7,1,0,0
9.9,21.9,66.2,0.198,1192.7,33.9,2,0,0
3.9,11.3,37.8,0.192,1592.0,24.9,0,0,0
30.1,46.0,179.5,0.578,2084.9,38.9,25,0,1
26.2,67.9,175.6,0.421,242.6,6.3,0,0,0
18.4,47.8,140.3,0.501,713.1,22.1,23,0,1
34.8,54.1,184.3,0.538,2131.4,44.4,7,0,1
6.9,20.4,184.1,0.547,1914.1,47.1,17,0,1
27.0,77.8,214.6,0.503,2847.4,54.8,7,0,1
12.7,29.0,103.6,0.488,152.1,4.1,0,0,0
25.0,51.5,170.5,0.46,131.6,3.9,2,0,0
29.7,48.5,157.4,0.445,2794.7,32.3,25,0,1
20.4,59.1,157.9,0.443,2632.3,46.0,24,0,1
0.0,1.4,20.6,0.121,284.1,9.1,0,0,0
10.1,23.8,232.0,0.471,2634.0,44.7,18,0,1
1.1,8.1,22.8,0.315,2117.8,41.2,2,0,0
19.4,25.6,125.4,0.53,1731.6,20.7,18,0,1
3.1,10.6,36.6,0.258,1741.3,38.2,1,0,0
3.1,7.4,20.8,0.276,106.4,3.1,0,0,0
29.5,51.1,127.8,0.531,740.2,25.4,13,0,1
16.2,56.4,103.8,0.397,1121.4,57.8,7,0,1
9.1,13.1,58.4,0.421,2647.4,47.5,14,0,1
27.0,54.5,139.3,0.494,318.8,11.4,0,0,0
44.9,71.7,221.4,0.462,379.1,50.9,13,0,1
21.2,65.8,231.2,0.432,960.3,47.3,25,0,1
9.3,26.9,89.0,0.474,267.2,1.1,1,0,0
1.0,3.2,16.0,0.296,84.4,3.5,0,0,0
39.1,58.0,150.6,0.393,1460.3,25.7,25,0,1
22.8,46.4,126.3,0.433,69.1,6.1,2,0,0
26.6,53.7,98.2,0.455,179.9,13.2,1,0,0
8.9,17.8,43.6,0.307,1918.5,37.7,3,0,0
26.1,45.9,195.1,0.573,1442.5,19.5,7,0,1
0.5,8.4,21.3,0.295,93.2,7.3,0,0,0
3.8,8.4,29.5,0.225,1694.4,25.4,2,0,0
38.6,56.4,196.1,0.401,557.8,40.9,9,0,0
17.9,52.1,109.8,0.432,132.0,10.6,0,0,0
33.7,48.5,239.0,0.527,353.5,55.2,23,0,1
22.5,80.2,226.0,0.49,387.0,28.1,20,1,1
14.6,38.2,127.0,0.405,453.8,20.9,12,0,1
23.9,65.2,232.0,0.412,3008.3,29.0,21,0,1
7.1,23.5,58.1,0.267,1319.6,36.3,2,0,0
4.3,20.9,55.4,0.308,2337.0,26.6,1,0,0
24.3,55.7,193.7,0.53,107.2,13.0,1,0,0
24.1,32.4,66.9,0.433,1061.2,20.7,9,0,1
0.1,0.2,1.9,0.226,249.0,1.8,0,0,0
19.8,30.6,93.9,0.572,1518.3,21.2,18,0,1
1.1,2.8,16.3,0.196,51.2,11.0,0,0,0
0.6,2.2,15.0,0.194,260.3,10.2,0,0,0
18.8,49.8,205.4,0.541,1564.7,50.5,24,0,1
21.6,27.8,125.4,0.557,1187.6,40.8,3,0,1
5.8,22.2,49.5,0.336,632.9,38.6,0,0,0
15.5,45.4,189.2,0.55,1601.5,34.6,25,0,1
19.9,27.7,50.6,0.385,700.2,39.2,23,0,1
40.4,72.7,192.9,0.444,2909.1,38.1,14,0,1
28.5,36.6,228.7,0.471,3168.2,32.9,23,0,1
13.0,22.5,121.5,0.441,2362.3,37.7,5,0,1
1.4,3.9,20.7,0.139,189.0,1.0,0,0,0
15.2,37.9,71.3,0.413,2785.3,35.7,22,0,1
0.2,2.0,23.1,0.184,239.4,8.6,0,0,0
1.3,7.2,19.1,0.168,142.7,5.9,0,0,0
21.7,28.5,51.7,0.54,887.7,37.0,16,0,1
0.3,1.6,12.9,0.25,134.6,2.2,0,0,0
11.9,32.5,130.1,0.576,2756.4,22.1,19,0,1
26.9,68.0,231.8,0.502,1503.6,54.3,3,0,1
9.4,22.5,62.5,0.36,799.7,23.7,0,0,0
19.5,40.7,144.8,0.525,3167.4,35.7,11,0,1
11.0,53.9,194.9,0.534,1624.2,37.1,4,0,1
38.2,56.7,127.0,0.521,2486.6,27.8,24,0,1
2.8,19.0,63.2,0.32,1044.4,33.2,4,0,0
0.0,0.2,1.9,0.136,135.8,4.8,0,0,0
12.8,72.5,239.2,0.576,921.9,33.7,21,0,1
26.8,41.4,226.0,0.537,2236.3,37.5,7,0,1
11.9,24.9,70.4,0.544,1630.8,53.6,17,0,1
4.4,14.1,39.1,0.296,820.4,38.3,2,0,0
4.9,14.1,71.9,0.327,2326.1,39.9,0,0,0
11.2,40.4,175.9,0.453,575.1,21.1,19,0,1
2.8,22.5,65.6,0.297,1609.9,36.8,0,0,0
5.0,12.3,54.9,0.295,1474.7,29.7,2,0,0
16.3,73.2,224.6,0.575,1836.3,57.1,5,0,1
35.9,59.3,133.3,0.556,2422.7,53.7,16,1,1
5.8,19.4,47.5,0.241,1058.4,29.6,0,0,0
0.2,1.3,25.8,0.129,119.5,5.5,0,0,0
0.0,0.5,12.7,0.249,279.0,3.9,0,0,0
4.8,10.3,35.4,0.285,912.0,23.5,1,0,0
23.8,87.7,177.0,0.418,283.1,11.9,0,0,0
8.4,14.8,73.4,0.441,2482.6,54.1,12,0,1
34.9,72.2,213.4,0.471,1558.8,50.8,13,0,1
10.9,23.7,51.4,0.411,2207.0,28.1,18,0,1
1.4,3.1,16.9,0.216,227.7,0.5,0,0,0
19.7,47.8,150.7,0.481,1945.8,33.6,12,0,1
6.4,17.0,66.0,0.579,2545.5,27.5,15,0,1
38.8,93.4,208.6,0.465,1430.9,27.2,15,0,1
24.7,35.5,68.7,0.49,843.8,53.3,9,0,1
0.1,0.3,24.9,0.318,212.8,8.7,0,0,0
30.3,39.3,77.1,0.39,1032.9,41.9,8,0,1
25.8,46.0,218.6,0.498,3061.0,51.5,5,0,1
21.4,51.0,132.7,0.531,210.2,1.5,2,0,0
5.3,24.7,56.1,0.25,689.1,35.3,1,0,0
14.0,35.2,92.3,0.405,3107.7,54.6,14,1,1
38.8,78.6,157.5,0.501,2521.6,38.2,15,0,1
6.1,15.4,40.7,0.359,1416.2,33.1,4,0,0
12.1,38.1,122.7,0.554,2397.1,56.4,21,0,1
0.6,1.6,6.9,0.283,92.7,0.8,0,0,0
1.7,5.9,45.9,0.327,1896.4,20.5,1,0,0
1.1,6.8,29.7,0.185,2329.6,36.3,0,0,0
0.1,0.2,2.5,0.255,197.6,9.6,0,0,0
24.2,64.6,137.1,0.565,455.1,23.7,21,0,1
26.1,55.0,134.2,0.482,291.3,2.8,0,0,0
12.5,39.3,87.6,0.466,1311.3,39.4,22,0,1
1.8,5.0,28.5,0.191,681.4,35.3,0,0,0
29.6,89.7,170.4,0.517,253.9,2.0,1,0,0
14.1,87.6,228.7,0.461,1093.1,45.4,11,0,1
26.8,33.8,65.0,0.44,1058.7,35.1,19,0,1
19.1,40.0,124.5,0.477,2412.6,35.3,6,0,1
0.8,3.4,20.1,0.307,52.7,10.3,0,0,0
14.4,53.4,141.2,0.509,583.6,29.2,5,1,1
0.1,0.7,3.2,0.132,96.7,11.4,0,0,0
14.7,42.2,88.0,0.532,193.6,2.5,2,0,0
28.3,37.0,170.6,0.488,3072.1,35.0,7,0,1
17.2,29.0,74.8,0.511,892.7,46.2,4,0,1
8.9,26.4,97.0,0.488,81.0,3.2,0,0,0
2.7,8.2,27.1,0.267,2240.5,39.5,1,0,0
19.4,29.2,220.4,0.466,2604.6,27.9,21,0,1
0.5,1.4,19.8,0.318,255.5,2.2,0,0,0
0.0,0.1,0.3,0.211,82.4,2.4,0,0,0
0.0,1.3,4.8,0.281,206.9,1.6,0,0,0
