source_key,source_row,slide_no,state,latitude,longitude,raw_text
16:AS/HKN/83D10/2020/3,16,AS/HKN/83D10/2020/3,Assam,24.52,92.53,16 AS/HKN/83D10/2020/3 Assam Hailakandi Dinanathpur slide Dinanathpur 24.52 92.53 Debris Slide NA
17:AS/HKN/83D10/2020/8,17,AS/HKN/83D10/2020/8,Assam,24.53,92.63,17 AS/HKN/83D10/2020/8 Assam Hailakandi Lala Chaura Bagan slide Lala Chaura Bagan 24.53 92.63 Debris Slide NA
18:AS/CHR/83D14/2020/4,18,AS/CHR/83D14/2020/4,Assam,24.53,92.84,18 AS/CHR/83D14/2020/4 Assam Cachar Raj Nagar Slide Raj Nagar 24.53 92.84 Debris Slide NA
19:AS/CHR/83D14/2020/5,19,AS/CHR/83D14/2020/5,Assam,24.53,92.84,19 AS/CHR/83D14/2020/5 Assam Cachar Shymacharanpur slide Shyamacharanpur 24.53 92.84 Debris Slide NA
20:AS/HKN/83D10/2020/11,20,AS/HKN/83D10/2020/11,Assam,24.54,92.63,20 AS/HKN/83D10/2020/11 Assam Hailakandi Nubarnapur slide Lalamukh village 24.54 92.63 Debris Slide NA
21:AS/HKN/83D10/2020/1,21,AS/HKN/83D10/2020/1,Assam,24.55,92.74,21 AS/HKN/83D10/2020/1 Assam Hailakandi Dwarbond- Bilaipur slide Dwarbond- Bilaipur road 24.55 92.74 Debris Slide NA
22:AS/HKN/83D10/2020/9,22,AS/HKN/83D10/2020/9,Assam,24.55,92.75,22 AS/HKN/83D10/2020/9 Assam Hailakandi Purbanakshatila slide 1 Purbanakshatila 24.55 92.75 Debris Slide NA
23:AS/HKN/83D10/2020/10,23,AS/HKN/83D10/2020/10,Assam,24.55,92.75,23 AS/HKN/83D10/2020/10 Assam Hailakandi Purbanakshatila slide 2 Purbanakshatila 24.55 92.75 Debris Slide NA
24:AS/CHR/83D14/2020/2,24,AS/CHR/83D14/2020/2,Assam,24.56,92.94,24 AS/CHR/83D14/2020/2 Assam Cachar Maniarkhal Slide Maniarkhal Pt VII (Tea estate) 24.56 92.94 Debris Slide NA
26:AS/CHR/83D14/2020/6,26,AS/CHR/83D14/2020/6,Assam,24.62,92.83,26 AS/CHR/83D14/2020/6 Assam Cachar Pruptal slide Pruptal 24.62 92.83 Debris Slide NA
27:AS/CHR/83D14/2020/7,27,AS/CHR/83D14/2020/7,Assam,24.62,92.84,27 AS/CHR/83D14/2020/7 Assam Cachar Panibara slide Panibara 24.62 92.84 Debris Slide 2019
28:AS/HKN/83D10/2020/2,28,AS/HKN/83D10/2020/2,Assam,24.63,92.74,28 AS/HKN/83D10/2020/2 Assam Hailakandi BoroJalenga slide BoroJalenga 24.63 92.74 Debris Slide NA
29:AS/CHR/83D14/2020/1,29,AS/CHR/83D14/2020/1,Assam,24.64,92.98,29 AS/CHR/83D14/2020/1 Assam Cachar Bhuban Nagar slide Bhuban Nagar 24.64 92.98 Debris Slide 2019
30:ASM/CCR/83H2/2016/66,30,ASM/CCR/83H2/2016/66,Assam,24.645417,93.005361,30 ASM/CCR/83H2/2016/66 Assam Cachar Khasiapunji slide Khasiapunji village 24.645417 93.005361 Debris Slide 31 August 2016
31:ASM/KRGJ/83D06/2016/61,31,ASM/KRGJ/83D06/2016/61,Assam,24.659389,92.497361,"31 ASM/KRGJ/83D06/2016/61 Assam Karimganj Rakhalbasti Rakhalbasti, near Sonaicherra TG. Under Ram Krishna 24.659389 92.497361 Earth Slide 18 May 2016"
32:ASM/HLK/83D10/2020/003,32,ASM/HLK/83D10/2020/003,Assam,24.70364,92.64681,"32 ASM/HLK/83D10/2020/003 Assam Hailakandi Mohanpur Grant Slide 1 Mohanpur Grant, Hailakandi Circle. 24.70364 92.64681 Debris Slide 02nd June 2020"
34:ASM/HLK/83D10/2020/004,34,ASM/HLK/83D10/2020/004,Assam,24.70656,92.65008,"34 ASM/HLK/83D10/2020/004 Assam Hailakandi Mohanpur Grant Slide 2 Mohanpur Grant, Hailakandi Circle. 24.70656 92.65008 Debris Slide 02 June 2020"
35:AS/KAR/83D06/2009-10/AS-2,35,AS/KAR/83D06/2009-10/AS-2,Assam,24.710833,92.481167,35 AS/KAR/83D06/2009-10/AS-2 Assam Karimganj Rongpur slide Rongpur Village 24.710833 92.481167 Debris Slide 03 June 2010
36:ASM/CHR/83D14/2020/0002,36,ASM/CHR/83D14/2020/0002,Assam,24.72192,92.90381,"36 ASM/CHR/83D14/2020/0002 Assam Cachar Govindnagar Slide Govindnagar Pt. II, Sonai 24.72192 92.90381 Debris Slide 05 June 2020"
37:ASM/HLK/83D10/2020/005,37,ASM/HLK/83D10/2020/005,Assam,24.73117,92.64739,"37 ASM/HLK/83D10/2020/005 Assam Hailakandi Mohanpur Grant Slide 3 Mohanpur Grant, Hailakandi Circle. 24.73117 92.64739 Debris Slide 02 June 2020"
38:ASM/KGJ/83D05/2020/0008,38,ASM/KGJ/83D05/2020/0008,Assam,24.78002778,92.45372222,"38 ASM/KGJ/83D05/2020/0008 Assam Karimganj Karimpur Slide 2 Karimpur, Nilam Bazar 24.78002778 92.45372222 Earth Slide 02 June 2020"
39:ASM/KGJ/83D05/2020/007,39,ASM/KGJ/83D05/2020/007,Assam,24.78380556,92.45563889,"39 ASM/KGJ/83D05/2020/007 Assam Karimganj Karimpur Slide 1 Karimpur, Nilam Bazar 24.78380556 92.45563889 Earth Slide 02 June 2020 LANDSLIDE INVENTORY (Field vaidated)"
40:ASM/HLK/83D09/2020/006,40,ASM/HLK/83D09/2020/006,Assam,24.79489,92.55506,"40 ASM/HLK/83D09/2020/006 Assam Hailakandi Chandipur Grant Slide Bowarthar, Chandipur, Algapur Circle. 24.79489 92.55506 Debris Slide 02 June 2020"
41:AS/DIM/83C16/2018/27,41,AS/DIM/83C16/2018/27,Assam,24.795892,93.045425,41 AS/DIM/83C16/2018/27 Assam Cachar Lowajuri NH53 24.795892 93.045425 Debris Slide NA
42:AS/DIM/83C16/2018/28,42,AS/DIM/83C16/2018/28,Assam,24.813648,93.073009,42 AS/DIM/83C16/2018/28 Assam Cachar Lalpani NH53 24.813648 93.073009 Debris Slide NA
43:ASM/CHR/83H01/2020/001,43,ASM/CHR/83H01/2020/001,Assam,24.92097,93.07306,"43 ASM/CHR/83H01/2020/001 Assam Cachar Kanakpur Slide Kanakpur Pt. III, Lakhipur, Joypur 24.92097 93.07306 Earth Slide 02 June 2020"
44:AS/CHR/83D13/2020/9,44,AS/CHR/83D13/2020/9,Assam,24.93,92.84,"44 AS/CHR/83D13/2020/9 Assam Cachar Haticherra slide NH-27(Old NH-54E, Silchar- Lumding road) 24.93 92.84 Debris Slide NA"
45:AS/CHR/83D09/2020/8,45,AS/CHR/83D09/2020/8,Assam,24.95,92.73,45 AS/CHR/83D09/2020/8 Assam Cachar Borkola Cyan Nagar slide Borkola Cyan Nagar Natun Basti 24.95 92.73 Debris Slide 2018
46:AS/CHR/83D13/2020/7,46,AS/CHR/83D13/2020/7,Assam,24.95,92.8,46 AS/CHR/83D13/2020/7 Assam Cachar Subong slide Subong Tea Estate 24.95 92.8 Debris Slide NA
47:AS/CHR/83D13/2020/5,47,AS/CHR/83D13/2020/5,Assam,24.96,92.92,47 AS/CHR/83D13/2020/5 Assam Cachar Nagadun slide Nagadun 24.96 92.92 Debris Slide NA
48:AS/CHR/83D09/2020/2,48,AS/CHR/83D09/2020/2,Assam,24.96,92.7,"48 AS/CHR/83D09/2020/2 Assam Cachar Bicrampore slide-1 Bicrampore Tea Estate, near BSF camp 24.96 92.7 Debris Slide NA"
49:AS/CHR/83D09/2020/3,49,AS/CHR/83D09/2020/3,Assam,24.96,92.7,"49 AS/CHR/83D09/2020/3 Assam Cachar Bicrampore Slide -2 Bicrampore Tea Estate, near BSF camp 24.96 92.7 Debris Slide NA"
50:AS/CHR/83D13/2020/4,50,AS/CHR/83D13/2020/4,Assam,24.96,92.95,50 AS/CHR/83D13/2020/4 Assam Cachar Guabari slide-2 Guabari (Naku nala) 24.96 92.95 Debris Slide NA
51:AS/CHR/83D09/2020/1,51,AS/CHR/83D09/2020/1,Assam,24.96,92.66,51 AS/CHR/83D09/2020/1 Assam Cachar Sonbari Slide Sonbari 24.96 92.66 Debris Slide NA
52:AS/CHR/83D09/2020/5,52,AS/CHR/83D09/2020/5,Assam,24.96,92.66,52 AS/CHR/83D09/2020/5 Assam Cachar Dinonatpur slide Dinonatpur 24.96 92.66 Debris Slide NA
53:AS/CHR/83D13/2020/8,53,AS/CHR/83D13/2020/8,Assam,24.96,92.98,53 AS/CHR/83D13/2020/8 Assam Cachar Tikal Nadi ONGC road 24.96 92.98 Debris Slide NA
54:AS/CHR/83D13/2020/1,54,AS/CHR/83D13/2020/1,Assam,24.97,92.76,"54 AS/CHR/83D13/2020/1 Assam Cachar Balichhara slide-1 NH-27(Old NH-54E, Silchar- Lumding road) 24.97 92.76 Debris Slide NA"
55:AS/CHR/83D09/2020/4,55,AS/CHR/83D09/2020/4,Assam,24.97,92.72,55 AS/CHR/83D09/2020/4 Assam Cachar Narainchara grant slide Narainchara grant 24.97 92.72 Debris Slide NA
56:AS/CHR/83D09/2020/6,56,AS/CHR/83D09/2020/6,Assam,24.97,92.72,56 AS/CHR/83D09/2020/6 Assam Cachar Narainchora slide-1 Narainchora 24.97 92.72 Debris Slide NA
57:AS/CHR/83D09/2020/7,57,AS/CHR/83D09/2020/7,Assam,24.97,92.72,57 AS/CHR/83D09/2020/7 Assam Cachar Naraichhora slide-2 Narainchora 24.97 92.72 Debris Slide 2017
58:AS/CAC/83H01/2018/55,58,AS/CAC/83H01/2018/55,Assam,24.97228,93.03289,58 AS/CAC/83H01/2018/55 Assam Cachar Lailongchara 3 Lailongchara village 24.97228 93.03289 Debris Slide NA
59:AS/CAC/83H01/2018/54,59,AS/CAC/83H01/2018/54,Assam,24.97692,93.033,59 AS/CAC/83H01/2018/54 Assam Cachar Lailongchara 2 Near Lailongchara village 24.97692 93.033 Rock Fall NA
60:AS/CAC/83H01/2018/53,60,AS/CAC/83H01/2018/53,Assam,24.97714,93.03344,60 AS/CAC/83H01/2018/53 Assam Cachar Lailongchara 1 NH53 24.97714 93.03344 Debris Slide NA
61:AS/CHR/83D13/2020/6,61,AS/CHR/83D13/2020/6,Assam,24.98,92.75,"61 AS/CHR/83D13/2020/6 Assam Cachar Balichhara slide-3 NH-27(Old NH-54E, Silchar- Lumding road) 24.98 92.75 Debris Slide NA"
62:AS/CHR/83D13/2020/3,62,AS/CHR/83D13/2020/3,Assam,24.98,92.96,62 AS/CHR/83D13/2020/3 Assam Cachar Guabari slide-1 Guabari 24.98 92.96 Debris Slide NA
63:AS/CHR/83C12/2020/3,63,AS/CHR/83C12/2020/3,Assam,24.98,92.72,63 AS/CHR/83C12/2020/3 Assam Cachar Ekala Basti slide Ekala Basti (Railway line) 24.98 92.72 Debris Slide NA
64:AS/CHR/83D09/2020/9,64,AS/CHR/83D09/2020/9,Assam,24.99,92.6,64 AS/CHR/83D09/2020/9 Assam Cachar Khurkurie slide Khurkurie 24.99 92.6 Debris Slide NA
65:AS/CHR/83D05/2020/2,65,AS/CHR/83D05/2020/2,Assam,24.99,92.45,65 AS/CHR/83D05/2020/2 Assam Cachar Tarapur slide Tarapur 24.99 92.45 Debris Slide 2016
66:AS/CHR/83D13/2020/2,66,AS/CHR/83D13/2020/2,Assam,24.99,92.75,"66 AS/CHR/83D13/2020/2 Assam Cachar Balichhara slide-2 NH-27(Old NH-54E, Silchar- Lumding road) 24.99 92.75 Debris Slide NA"
67:AS/CAC/83H01/2018/42,67,AS/CAC/83H01/2018/42,Assam,24.993,93.161583,67 AS/CAC/83H01/2018/42 Assam Cachar Bara Arkap_1 Raja Bazaar ΓÇôBara Arkap road. 24.993 93.161583 Debris Slide NA
68:AS/CAC/83H01/2018/43,68,AS/CAC/83H01/2018/43,Assam,24.99561,93.16261,68 AS/CAC/83H01/2018/43 Assam Cachar Bara Arkap_2 Raza Bazaar ΓÇôBara Arkap Highway. 24.99561 93.16261 Debris Slide NA
69:AS/CHR/83D05/2020/1,69,AS/CHR/83D05/2020/1,Assam,25.0,92.43,69 AS/CHR/83D05/2020/1 Assam Cachar Natanpur slide Natanpur 25 92.43 Debris Slide NA
70:AS/DIM/83G4/2015/61,70,AS/DIM/83G4/2015/61,Assam,25.003,93.164,"70 AS/DIM/83G4/2015/61 Assam Dima Hasao Jenam Ghat road State Highway, 3 km before Jenam Ghat 25.003 93.164 Earth Slide NA"
72:AS/CHR/83C12/2020/5,72,AS/CHR/83C12/2020/5,Assam,25.01,92.75,"72 AS/CHR/83C12/2020/5 Assam Cachar New Jatinga slide NH-27(Old NH-54E, Silchar- Lumding road) 25.01 92.75 Debris Slide NA"
73:AS/CHR/83C12/2020/6,73,AS/CHR/83C12/2020/6,Assam,25.01,92.75,"73 AS/CHR/83C12/2020/6 Assam Cachar NH -27 slide 2 NH-27(Old NH-54E, Silchar- Lumding road) 25.01 92.75 Debris Slide NA"
74:AS/CHR/83C12/2020/7,74,AS/CHR/83C12/2020/7,Assam,25.01,92.75,"74 AS/CHR/83C12/2020/7 Assam Cachar NH -27 slide 1 NH-27(Old NH-54E, Silchar- Lumding road) 25.01 92.75 Debris Slide NA"
75:AS/CHR/83C12/2020/4,75,AS/CHR/83C12/2020/4,Assam,25.01,92.73,75 AS/CHR/83C12/2020/4 Assam Cachar Jatinga River slide-2 Damchara 25.01 92.73 Debris Slide NA
76:AS/DIM/83C16/2017/10,76,AS/DIM/83C16/2017/10,Assam,25.010379,92.75482,76 AS/DIM/83C16/2017/10 Assam Dima Hasao Miyunkro1 NH54 25.010379 92.75482 Debris Slide NA
77:AS/DIM/83C16/2017/41,77,AS/DIM/83C16/2017/41,Assam,25.01856,92.77011,77 AS/DIM/83C16/2017/41 Assam Dima Hasao Durbintola4 NH54 25.01856 92.77011 Debris Slide NA
78:AS/DIM/83C16/2018/49,78,AS/DIM/83C16/2018/49,Assam,25.019029,92.770549,78 AS/DIM/83C16/2018/49 Assam Dima Hasao Durbintola5 NH53 25.019029 92.770549 Debris Slide NA
79:AS/CHR/83C12/2020/1,79,AS/CHR/83C12/2020/1,Assam,25.02,92.52,79 AS/CHR/83C12/2020/1 Assam Cachar Bhamai slide-1 Karbi houses(Bhamai river side) 25.02 92.52 Debris Slide 2019
80:AS/CHR/83C12/2020/2,80,AS/CHR/83C12/2020/2,Assam,25.02,92.52,80 AS/CHR/83C12/2020/2 Assam Cachar Bhamai slide-2 Karbi Houses (Bhamai river side) 25.02 92.52 Debris Slide 2019
81:AS/CAC/83C4/2016/73,81,AS/CAC/83C4/2016/73,Assam,25.029708,92.463967,81 AS/CAC/83C4/2016/73 Assam Cachar 0.21 km N of Malidhar NH44 25.029708 92.463967 Debris Slide 2015
82:AS/CAC/83C4/2016/74,82,AS/CAC/83C4/2016/74,Assam,25.031431,92.463231,82 AS/CAC/83C4/2016/74 Assam Cachar 0.39 km N of Malidhar NH44 25.031431 92.463231 Debris Slide 2015
83:AS/CAC/83C4/2016/75,83,AS/CAC/83C4/2016/75,Assam,25.032119,92.462636,83 AS/CAC/83C4/2016/75 Assam Cachar 0.48 km N of Malidhar NH44 25.032119 92.462636 Debris Slide 2015
84:AS/CAC/83C4/2016/76,84,AS/CAC/83C4/2016/76,Assam,25.032989,92.462214,84 AS/CAC/83C4/2016/76 Assam Cachar 0.58 km NW of Malidhar NH44 25.032989 92.462214 Debris Slide 2015
85:AS/DIM/83C16/2017/58,85,AS/DIM/83C16/2017/58,Assam,25.034948,92.778753,85 AS/DIM/83C16/2017/58 Assam Dima Hasao Durbintola5 NH54 25.034948 92.778753 Debris Slide NA
86:AS/DIM/83C16/2017/40,86,AS/DIM/83C16/2017/40,Assam,25.0365,92.780417,86 AS/DIM/83C16/2017/40 Assam Dima Hasao Durbintola3 NH54 25.0365 92.780417 Debris Slide NA
87:MEG/WJH/83C4/2016/45,87,MEG/WJH/83C4/2016/45,Assam,25.037203,92.450339,87 MEG/WJH/83C4/2016/45 Assam Cachar 2 km E of Rathacherra NH44 (near to weight bridge) 25.037203 92.450339 Debris Slide 2015
88:AS/DIM/83C16/2017/39,88,AS/DIM/83C16/2017/39,Assam,25.039722,92.781889,88 AS/DIM/83C16/2017/39 Assam Dima Hasao Durbintola2 NH54 25.039722 92.781889 Debris Slide NA
89:AS/DIM/83C16/2017/38,89,AS/DIM/83C16/2017/38,Assam,25.041083,92.783111,89 AS/DIM/83C16/2017/38 Assam Dima Hasao Durbintola1 NH54 25.041083 92.783111 Debris Slide NA
90:AS/DIM/83C16/2017/37,90,AS/DIM/83C16/2017/37,Assam,25.046444,92.789667,90 AS/DIM/83C16/2017/37 Assam Dima Hasao Bandarkhal11 NH54 25.046444 92.789667 Debris Slide NA
91:AS/DIM/83C16/2017/36,91,AS/DIM/83C16/2017/36,Assam,25.046778,92.790111,91 AS/DIM/83C16/2017/36 Assam Dima Hasao Bandarkhal10 NH54 25.046778 92.790111 Debris Slide NA
92:AS/DIM/83C16/2017/25,92,AS/DIM/83C16/2017/25,Assam,25.047417,92.793389,92 AS/DIM/83C16/2017/25 Assam Dima Hasao Bandarkhal9 NH54 25.047417 92.793389 Debris Slide NA
93:AS/DIM/83C16/2018/29,93,AS/DIM/83C16/2018/29,Assam,25.04783,92.78931,93 AS/DIM/83C16/2018/29 Assam Dima Hasao Bandarkhal railway slide. Between NFR Bridge No. 305 and Tunnel No. 19 (~2 km SW of Bandarkhal Railway Station). 25.04783 92.78931 Debris Slide NA
94:AS/DIM/83C16/2017/24,94,AS/DIM/83C16/2017/24,Assam,25.049417,92.796722,94 AS/DIM/83C16/2017/24 Assam Dima Hasao Bandarkhal8 NH54 25.049417 92.796722 Debris Slide NA
95:AS/DIM/83C16/2017/23,95,AS/DIM/83C16/2017/23,Assam,25.049444,92.79725,95 AS/DIM/83C16/2017/23 Assam Dima Hasao Bandarkhal7 NH54 25.049444 92.79725 Soil Slide NA
96:AS/DIM/83C16/2017/22,96,AS/DIM/83C16/2017/22,Assam,25.049917,92.799667,96 AS/DIM/83C16/2017/22 Assam Dima Hasao Bandarkhal7 NH54 25.049917 92.799667 Rock cum debris Slide NA
97:AS/DIM/83C16/2017/21,97,AS/DIM/83C16/2017/21,Assam,25.054917,92.800333,97 AS/DIM/83C16/2017/21 Assam Dima Hasao Bandarkhal6 NH54 25.054917 92.800333 Soil Slide NA
98:AS/DIM/83C16/2017/20,98,AS/DIM/83C16/2017/20,Assam,25.056611,92.801722,98 AS/DIM/83C16/2017/20 Assam Dima Hasao Bandarkhal5 NH54 25.056611 92.801722 Debris Slide NA
99:AS/DIM/83C16/2017/18,99,AS/DIM/83C16/2017/18,Assam,25.060088,92.807089,99 AS/DIM/83C16/2017/18 Assam Dima Hasao Bandarkhal3 NH54 25.060088 92.807089 Debris Slide NA
100:AS/DIM/83C16/2017/19,100,AS/DIM/83C16/2017/19,Assam,25.060944,92.80675,100 AS/DIM/83C16/2017/19 Assam Dima Hasao Bandarkhal4 NH54 25.060944 92.80675 Debris Slide NA
101:AS/DIM/83C16/2017/15,101,AS/DIM/83C16/2017/15,Assam,25.061375,92.795906,101 AS/DIM/83C16/2017/15 Assam Dima Hasao Paschim Bandarkhla3 West of Paschim Bandarkhal 25.061375 92.795906 Debris Slide NA
102:AS/DIM/83C16/2017/17,102,AS/DIM/83C16/2017/17,Assam,25.061417,92.806833,102 AS/DIM/83C16/2017/17 Assam Dima Hasao Bandarkhal2 NH54 25.061417 92.806833 Debris Slide NA
103:AS/DIM/83C16/2017/13,103,AS/DIM/83C16/2017/13,Assam,25.061847,92.79345,103 AS/DIM/83C16/2017/13 Assam Dima Hasao Paschim Bandarkhla1 West of Paschim Bandarkhal 25.061847 92.79345 Debris Slide NA
104:AS/DIM/83C16/2017/14,104,AS/DIM/83C16/2017/14,Assam,25.063378,92.795536,104 AS/DIM/83C16/2017/14 Assam Dima Hasao Paschim Bandarkhla2 West of Paschim Bandarkhal 25.063378 92.795536 Debris Slide NA
105:AS/DIM/83C16/2017/12,105,AS/DIM/83C16/2017/12,Assam,25.063472,92.807796,105 AS/DIM/83C16/2017/12 Assam Dima Hasao Bandarkhal1 NH54 25.063472 92.807796 Debris Slide NA
106:AS/DIH/83G08/2020/33,106,AS/DIH/83G08/2020/33,Assam,25.07,93.29,106 AS/DIH/83G08/2020/33 Assam Dima Hasao Data taken from P. Songkai to Natun Songkai road 25.07 93.29 Debris Slide NA
107:AS/DIM/83C16/2017/16,107,AS/DIM/83C16/2017/16,Assam,25.072636,92.794514,107 AS/DIM/83C16/2017/16 Assam Dima Hasao Paschim Bandarkhla4 North of Paschim Bandarkhal 25.072636 92.794514 Soil Slide NA
108:AS/DIM/83C16/2017/11,108,AS/DIM/83C16/2017/11,Assam,25.073228,92.814734,108 AS/DIM/83C16/2017/11 Assam Dima Hasao Kayang1 NH54 25.073228 92.814734 Debris Slide NA
109:AS/DIM/83C16/2017/09,109,AS/DIM/83C16/2017/09,Assam,25.078935,92.95379,109 AS/DIM/83C16/2017/09 Assam Dima Hasao Duiheng2 Old HaflongSilchar road 25.078935 92.95379 Debris Slide NA
110:AS/DIM/83C16/2017/08,110,AS/DIM/83C16/2017/08,Assam,25.088389,92.958944,110 AS/DIM/83C16/2017/08 Assam Dima Hasao Duiheng1 Old HaflongSilchar road 25.088389 92.958944 Debris Slide NA
111:AS/DIH/83G08/2020/31,111,AS/DIH/83G08/2020/31,Assam,25.1,93.28,111 AS/DIH/83G08/2020/31 Assam Dima Hasao P. Songkai to Natun Songkai road 25.1 93.28 Rock Slide NA
112:AS/DIH/83G08/2020/32,112,AS/DIH/83G08/2020/32,Assam,25.1,93.28,112 AS/DIH/83G08/2020/32 Assam Dima Hasao P. Songkai to Natun Songkai road 25.1 93.28 Rock Slide NA
113:AS/DIH/83G08/2020/36,113,AS/DIH/83G08/2020/36,Assam,25.1,93.28,113 AS/DIH/83G08/2020/36 Assam Dima Hasao P. Songkai to Natun Songkai road 25.1 93.28 Debris Slide NA
114:AS/DIM/83C16/2017/06,114,AS/DIM/83C16/2017/06,Assam,25.10275,92.986944,114 AS/DIM/83C16/2017/06 Assam Dima Hasao Retzawl5 Old HaflongSilchar road 25.10275 92.986944 Debris Slide NA
115:AS/DIM/83C16/2017/07,115,AS/DIM/83C16/2017/07,Assam,25.10292,92.986883,115 AS/DIM/83C16/2017/07 Assam Dima Hasao Retzawl6 Old HaflongSilchar road 25.10292 92.986883 Rock cum debris Slide NA
116:AS/DIM/83C16/2017/01,116,AS/DIM/83C16/2017/01,Assam,25.105414,92.972784,116 AS/DIM/83C16/2017/01 Assam Dima Hasao Retzawl1 NH54 25.105414 92.972784 Debris Slide NA
117:AS/DIM/83G4/2015/14,117,AS/DIM/83G4/2015/14,Assam,25.106,93.001,117 AS/DIM/83G4/2015/14 Assam Dima Hasao Silchar road NH-54 near Jatinga 25.106 93.001 Earth Slide NA
118:AS/DIM/83C16/2017/02,118,AS/DIM/83C16/2017/02,Assam,25.106956,92.991363,118 AS/DIM/83C16/2017/02 Assam Dima Hasao Retzawl2 Old HaflongSilchar road 25.106956 92.991363 Debris Slide NA
119:AS/DIM/83G4/2015/13,119,AS/DIM/83G4/2015/13,Assam,25.107,93.002,119 AS/DIM/83G4/2015/13 Assam Dima Hasao Silchar road NH-54 near Jatinga 25.107 93.002 Earth Slide NA
120:AS/DIM/83C16/2017/31,120,AS/DIM/83C16/2017/31,Assam,25.107546,92.885543,120 AS/DIM/83C16/2017/31 Assam Dima Hasao Bara Mulkai sinking zone. NH54 25.107546 92.885543 Debris Slide NA
121:AS/DIM/83G4/2015/15,121,AS/DIM/83G4/2015/15,Assam,25.108,93.003,121 AS/DIM/83G4/2015/15 Assam Dima Hasao Silchar road NH-54 near Jatinga 25.108 93.003 Earth Slide NA
122:AS/DIM/83C16/2017/03,122,AS/DIM/83C16/2017/03,Assam,25.108759,92.978048,122 AS/DIM/83C16/2017/03 Assam Dima Hasao Retzawl3 NH54 25.108759 92.978048 Debris Slide NA
123:AS/DIM/83C16/2017/04,123,AS/DIM/83C16/2017/04,Assam,25.108806,92.975139,123 AS/DIM/83C16/2017/04 Assam Dima Hasao Retzawl4 West of Retzawl 25.108806 92.975139 Debris Slide NA
124:AS/DIM/83C16/2017/34,124,AS/DIM/83C16/2017/34,Assam,25.108877,92.929125,124 AS/DIM/83C16/2017/34 Assam Dima Hasao Chhota Kapurchhara1 slide. NH54 25.108877 92.929125 Soil Slide NA
